(x, y) (x + w, x + h)
(317, 310) (430, 423)
(326, 320) (420, 414)
(319, 308) (437, 426)
(222, 228) (433, 439)
(265, 303) (384, 422)
(208, 183) (434, 409)
(208, 183) (434, 409)
(199, 185) (430, 416)
(206, 189) (414, 397)
(206, 189) (414, 397)
(255, 273) (375, 393)
(206, 185) (421, 400)
(220, 229) (407, 416)
(259, 286) (386, 413)
(259, 286) (386, 413)
(225, 228) (405, 408)
(224, 230) (404, 410)
(218, 227) (414, 423)
(217, 226) (416, 425)
(217, 226) (416, 425)
(220, 230) (417, 427)
(219, 235) (411, 427)
(220, 233) (414, 427)
(221, 232) (415, 426)
(219, 232) (416, 429)
(219, 232) (416, 429)
(217, 231) (415, 429)
(221, 232) (419, 430)
(222, 235) (416, 429)
(222, 237) (420, 435)
(222, 237) (420, 435)
(222, 235) (414, 427)
(221, 232) (417, 428)
(220, 233) (418, 431)
(278, 312) (398, 432)
(278, 312) (398, 432)
(281, 314) (391, 424)
(280, 311) (397, 428)
(280, 311) (397, 428)
(295, 325) (379, 409)
(286, 310) (388, 412)
(284, 307) (386, 409)
(284, 307) (386, 409)
(283, 301) (391, 409)
(285, 302) (385, 402)
(285, 302) (385, 402)
(227, 222) (438, 433)
(227, 222) (438, 433)
(295, 313) (372, 390)
(235, 235) (426, 426)
(298, 318) (370, 390)
(298, 318) (370, 390)
(282, 306) (385, 409)
(282, 306) (385, 409)
(290, 312) (380, 402)
(292, 313) (379, 400)
(292, 313) (379, 400)
(288, 313) (379, 404)
(288, 313) (379, 404)
(296, 318) (374, 396)
(296, 318) (374, 396)
(292, 316) (375, 399)
(294, 317) (378, 401)
(283, 309) (388, 414)
(283, 309) (388, 414)
(287, 314) (385, 412)
(222, 229) (430, 437)
(226, 234) (426, 434)
(225, 235) (429, 439)
(232, 241) (426, 435)
(290, 327) (365, 402)
(232, 241) (426, 435)
(290, 327) (365, 402)
(221, 231) (425, 435)
(293, 327) (371, 405)
(288, 326) (370, 408)
(289, 326) (370, 407)
(289, 326) (370, 407)
(297, 327) (380, 410)
(289, 320) (387, 418)
(294, 318) (389, 413)
(300, 323) (390, 413)
(300, 323) (390, 413)
(297, 321) (394, 418)
(298, 322) (392, 416)
(302, 324) (393, 415)
(302, 324) (393, 415)
